high_value_town,large_lots,industrial_land,river_side,mean_rooms,pupil_teacher_ratio
0,0.18,2.31,0,6.575,15.3
0,0,7.07,0,6.421,17.8
1,0,7.07,0,7.185,17.8
1,0,2.18,0,6.998,18.7
1,0,2.18,0,7.147,18.7
0,0,2.18,0,6.43,18.7
0,0.125,7.87,0,6.012,15.2
0,0.125,7.87,0,6.172,15.2
0,0.125,7.87,0,5.631,15.2
0,0.125,7.87,0,6.004,15.2
0,0.125,7.87,0,6.377,15.2
0,0.125,7.87,0,6.009,15.2
0,0.125,7.87,0,5.889,15.2
0,0,8.14,0,5.949,21
0,0,8.14,0,6.096,21
0,0,8.14,0,5.834,21
0,0,8.14,0,5.935,21
0,0,8.14,0,5.99,21
0,0,8.14,0,5.456,21
0,0,8.14,0,5.727,21
0,0,8.14,0,5.57,21
0,0,8.14,0,5.965,21
0,0,8.14,0,6.142,21
0,0,8.14,0,5.813,21
0,0,8.14,0,5.924,21
0,0,8.14,0,5.599,21
0,0,8.14,0,5.813,21
0,0,8.14,0,6.047,21
0,0,8.14,0,6.495,21
0,0,8.14,0,6.674,21
0,0,8.14,0,5.713,21
0,0,8.14,0,6.072,21
0,0,8.14,0,5.95,21
0,0,8.14,0,5.701,21
0,0,8.14,0,6.096,21
0,0,5.96,0,5.933,19.2
0,0,5.96,0,5.841,19.2
0,0,5.96,0,5.85,19.2
0,0,5.96,0,5.966,19.2
1,0.75,2.95,0,6.595,18.3
1,0.75,2.95,0,7.024,18.3
0,0,6.91,0,6.77,17.9
0,0,6.91,0,6.169,17.9
0,0,6.91,0,6.211,17.9
0,0,6.91,0,6.069,17.9
0,0,6.91,0,5.682,17.9
0,0,6.91,0,5.786,17.9
0,0,6.91,0,6.03,17.9
0,0,6.91,0,5.399,17.9
0,0,6.91,0,5.602,17.9
0,0.21,5.64,0,5.963,16.8
0,0.21,5.64,0,6.115,16.8
0,0.21,5.64,0,6.511,16.8
0,0.21,5.64,0,5.998,16.8
0,0.75,4,0,5.888,21.1
1,0.9,1.22,0,7.249,17.9
0,0.85,0.74,0,6.383,17.3
1,1,1.32,0,6.816,15.1
0,0.25,5.13,0,6.145,19.7
0,0.25,5.13,0,5.927,19.7
0,0.25,5.13,0,5.741,19.7
0,0.25,5.13,0,5.966,19.7
0,0.25,5.13,0,6.456,19.7
0,0.25,5.13,0,6.762,19.7
1,0.175,1.38,0,7.104,18.6
0,0.8,3.37,0,6.29,16.1
0,0.8,3.37,0,5.787,16.1
0,0.125,6.07,0,5.878,18.9
0,0.125,6.07,0,5.594,18.9
0,0.125,6.07,0,5.885,18.9
0,0,10.81,0,6.417,19.2
0,0,10.81,0,5.961,19.2
0,0,10.81,0,6.065,19.2
0,0,10.81,0,6.245,19.2
0,0,12.83,0,6.273,18.7
0,0,12.83,0,6.286,18.7
0,0,12.83,0,6.279,18.7
0,0,12.83,0,6.14,18.7
0,0,12.83,0,6.232,18.7
0,0,12.83,0,5.874,18.7
0,0.25,4.86,0,6.727,19
0,0.25,4.86,0,6.619,19
0,0.25,4.86,0,6.302,19
0,0.25,4.86,0,6.167,19
0,0,4.49,0,6.389,18.5
0,0,4.49,0,6.63,18.5
0,0,4.49,0,6.015,18.5
0,0,4.49,0,6.121,18.5
0,0,3.41,0,7.007,17.8
0,0,3.41,0,7.079,17.8
0,0,3.41,0,6.417,17.8
0,0,3.41,0,6.405,17.8
0,0.28,15.04,0,6.442,18.2
0,0.28,15.04,0,6.211,18.2
0,0.28,15.04,0,6.249,18.2
0,0,2.89,0,6.625,18
0,0,2.89,0,6.163,18
1,0,2.89,0,8.069,18
1,0,2.89,0,7.82,18
1,0,2.89,0,7.416,18
0,0,8.56,0,6.727,20.9
0,0,8.56,0,6.781,20.9
0,0,8.56,0,6.405,20.9
0,0,8.56,0,6.137,20.9
0,0,8.56,0,6.167,20.9
0,0,8.56,0,5.851,20.9
0,0,8.56,0,5.836,20.9
0,0,8.56,0,6.127,20.9
0,0,8.56,0,6.474,20.9
0,0,8.56,0,6.229,20.9
0,0,8.56,0,6.195,20.9
0,0,10.01,0,6.715,17.8
0,0,10.01,0,5.913,17.8
0,0,10.01,0,6.092,17.8
0,0,10.01,0,6.254,17.8
0,0,10.01,0,5.928,17.8
0,0,10.01,0,6.176,17.8
0,0,10.01,0,6.021,17.8
0,0,10.01,0,5.872,17.8
0,0,10.01,0,5.731,17.8
0,0,25.65,0,5.87,19.1
0,0,25.65,0,6.004,19.1
0,0,25.65,0,5.961,19.1
0,0,25.65,0,5.856,19.1
0,0,25.65,0,5.879,19.1
0,0,25.65,0,5.986,19.1
0,0,25.65,0,5.613,19.1
0,0,21.89,0,5.693,21.2
0,0,21.89,0,6.431,21.2
0,0,21.89,0,5.637,21.2
0,0,21.89,0,6.458,21.2
0,0,21.89,0,6.326,21.2
0,0,21.89,0,6.372,21.2
0,0,21.89,0,5.822,21.2
0,0,21.89,0,5.757,21.2
0,0,21.89,0,6.335,21.2
0,0,21.89,0,5.942,21.2
0,0,21.89,0,6.454,21.2
0,0,21.89,0,5.857,21.2
0,0,21.89,0,6.151,21.2
0,0,21.89,0,6.174,21.2
0,0,21.89,0,5.019,21.2
0,0,19.58,1,5.403,14.7
0,0,19.58,0,5.468,14.7
0,0,19.58,0,4.903,14.7
0,0,19.58,0,6.13,14.7
0,0,19.58,0,5.628,14.7
0,0,19.58,0,4.926,14.7
0,0,19.58,0,5.186,14.7
0,0,19.58,0,5.597,14.7
0,0,19.58,0,6.122,14.7
0,0,19.58,0,5.404,14.7
0,0,19.58,1,5.012,14.7
0,0,19.58,0,5.709,14.7
0,0,19.58,1,6.129,14.7
0,0,19.58,1,6.152,14.7
0,0,19.58,0,5.272,14.7
1,0,19.58,0,6.943,14.7
0,0,19.58,0,6.066,14.7
0,0,19.58,0,6.51,14.7
0,0,19.58,1,6.25,14.7
1,0,19.58,0,7.489,14.7
1,0,19.58,1,7.802,14.7
1,0,19.58,1,8.375,14.7
0,0,19.58,0,5.854,14.7
0,0,19.58,0,6.101,14.7
1,0,19.58,0,7.929,14.7
0,0,19.58,0,5.877,14.7
0,0,19.58,0,6.319,14.7
0,0,19.58,0,6.402,14.7
0,0,19.58,0,5.875,14.7
0,0,19.58,0,5.88,14.7
0,0,4.05,0,5.572,16.6
0,0,4.05,0,6.416,16.6
0,0,4.05,0,5.859,16.6
0,0,4.05,0,6.546,16.6
0,0,4.05,0,6.02,16.6
0,0,4.05,0,6.315,16.6
0,0,4.05,0,6.86,16.6
1,0,2.46,0,6.98,17.8
1,0,2.46,0,7.765,17.8
1,0,2.46,0,6.144,17.8
1,0,2.46,0,7.155,17.8
1,0,2.46,0,6.563,17.8
0,0,2.46,0,5.604,17.8
0,0,2.46,0,6.153,17.8
1,0,2.46,0,7.831,17.8
1,0.45,3.44,0,6.782,15.2
0,0.45,3.44,0,6.556,15.2
1,0.45,3.44,0,7.185,15.2
1,0.45,3.44,0,6.951,15.2
1,0.45,3.44,0,6.739,15.2
1,0.45,3.44,0,7.178,15.2
1,0.6,2.93,0,6.8,15.6
0,0.6,2.93,0,6.604,15.6
1,0.8,0.46,0,7.875,14.4
1,0.8,1.52,0,7.287,12.6
1,0.8,1.52,0,7.107,12.6
1,0.8,1.52,0,7.274,12.6
1,0.95,1.47,0,6.975,17
1,0.95,1.47,0,7.135,17
0,0.825,2.03,0,6.162,14.7
1,0.825,2.03,0,7.61,14.7
1,0.95,2.68,0,7.853,14.7
1,0.95,2.68,0,8.034,14.7
0,0,10.59,0,5.891,18.6
0,0,10.59,0,6.326,18.6
0,0,10.59,0,5.783,18.6
0,0,10.59,1,6.064,18.6
0,0,10.59,1,5.344,18.6
0,0,10.59,1,5.96,18.6
0,0,10.59,1,5.404,18.6
0,0,10.59,1,5.807,18.6
0,0,10.59,0,6.375,18.6
0,0,10.59,0,5.412,18.6
0,0,10.59,0,6.182,18.6
0,0,13.89,1,5.888,16.4
0,0,13.89,0,6.642,16.4
0,0,13.89,1,5.951,16.4
0,0,13.89,1,6.373,16.4
0,0,6.2,1,6.951,17.4
0,0,6.2,1,6.164,17.4
0,0,6.2,1,6.879,17.4
1,0,6.2,0,6.618,17.4
1,0,6.2,0,8.266,17.4
1,0,6.2,0,8.725,17.4
1,0,6.2,0,8.04,17.4
1,0,6.2,0,7.163,17.4
1,0,6.2,0,7.686,17.4
1,0,6.2,0,6.552,17.4
0,0,6.2,0,5.981,17.4
1,0,6.2,0,7.412,17.4
1,0,6.2,0,8.337,17.4
1,0,6.2,0,8.247,17.4
